,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
169,4.91,4.93,4.81,4.95,4.96,4.88,4.83,0.55
170,4.99,4.96,4.97,4.97,5.0,4.99,4.89,0.52
171,4.8,4.9,4.8,4.9,5.0,4.9,4.7,1.0
172,4.85,4.88,4.73,4.88,4.88,5.0,4.52,0.39
173,4.8,4.9,4.8,4.9,5.0,4.9,4.7,1.0
174,4.54,4.67,4.56,4.81,4.84,4.51,4.51,0.59
175,4.65,4.65,4.26,4.84,4.84,4.77,4.37,0.23
176,4.92,4.93,4.75,4.95,4.95,4.92,4.71,1.88
177,4.84,4.79,4.79,5.0,5.0,5.0,4.74,2.07
178,4.72,4.75,4.69,4.92,4.98,4.92,4.64,1.75
179,4.65,4.71,4.59,4.79,4.83,4.75,4.58,2.71
180,4.86,4.88,4.72,4.97,4.96,4.86,4.82,0.54
181,4.93,4.98,4.99,4.99,4.98,4.91,4.93,1.26
182,4.93,4.94,4.8,4.98,4.99,4.89,4.86,0.93
183,4.75,4.85,4.8,4.94,4.9,4.75,4.75,1.12
184,4.32,4.45,4.22,4.61,4.71,4.77,4.4,0.82
185,4.97,4.97,5.0,5.0,5.0,5.0,4.9,0.32
186,4.77,4.85,4.86,4.92,4.98,4.82,4.62,0.52
187,4.9,4.78,4.56,4.89,4.89,4.89,4.78,0.07
188,4.83,4.87,4.63,4.94,4.91,4.95,4.72,5.93
189,4.8,4.9,4.8,4.9,5.0,4.9,4.7,1.0
190,4.93,4.98,4.96,4.95,4.94,5.0,4.76,0.72
191,5.0,4.93,4.93,4.96,5.0,4.81,4.89,0.29
192,4.92,4.94,4.97,4.98,4.97,4.95,4.9,2.42
193,4.86,5.0,5.0,5.0,5.0,5.0,5.0,0.06
194,4.88,4.83,4.79,4.96,4.96,4.96,4.67,0.18
195,4.58,4.36,3.99,4.72,4.75,4.81,3.99,0.48
196,4.4,4.44,4.78,4.56,4.78,4.78,4.44,0.07
197,4.79,4.77,4.71,4.88,4.86,4.97,4.7,1.26
