,host_listings_count,host_total_listings_count,bathrooms,bedrooms,beds
7835,31.0,61.0,1.5,1.9,2.3
7836,180.0,226.0,2.0,2.0,4.0
7837,1.0,1.0,1.0,0.0,1.0
7838,2.0,2.0,3.0,5.0,4.0
7839,1.0,1.0,1.0,2.0,2.0
7840,109.0,166.0,3.0,4.0,5.0
7841,1.0,2.0,2.5,4.0,4.0
7842,1.0,1.0,1.0,1.0,1.0
7843,115.0,120.0,1.0,1.0,1.0
7844,2.0,2.0,2.0,3.0,4.0
7845,1.0,1.0,1.0,1.0,1.0
7846,23.0,31.0,1.0,1.0,1.0
7847,4.0,9.0,1.0,1.0,1.0
7848,1.0,1.0,1.5,3.0,5.0
7849,1.0,1.0,2.5,5.0,5.0
7850,2.0,3.0,1.0,1.0,1.0
7851,41.0,43.0,1.5,1.0,2.3
7852,1.0,1.0,1.0,2.0,2.0
7853,1.0,3.0,1.5,1.0,1.0
7854,1.0,1.0,1.0,2.0,3.0
7855,5.0,5.0,1.0,1.0,1.0
7856,237.0,354.0,5.5,5.0,5.0
7857,36.0,65.0,1.0,2.0,2.0
7858,237.0,354.0,2.0,2.0,2.0
7859,1.0,2.0,1.0,2.0,4.0
7860,3.0,3.0,3.0,4.0,7.0
7861,237.0,354.0,1.0,2.0,2.0
7862,1.0,2.0,2.5,3.0,2.0
7863,70.0,73.0,3.0,2.0,2.0
7864,2.0,2.0,1.0,0.0,1.0
7865,52.0,86.0,1.0,1.0,1.0
7866,2.0,2.0,1.0,2.0,5.0
7867,96.0,184.0,1.5,3.0,3.0
7868,66.0,89.0,1.0,2.0,2.0
7869,78.0,111.0,2.0,2.0,2.0
7870,1.0,1.0,1.0,1.0,2.0
7871,1.0,1.0,2.0,2.0,2.0
7872,3.0,3.0,1.0,1.0,1.0
7873,4.0,5.0,1.0,1.0,2.0
7874,2.0,2.0,1.5,1.9,2.3
7875,54.0,94.0,1.0,0.0,1.0
7876,1.0,1.0,2.0,2.0,1.0
7877,2.0,2.0,1.0,3.0,3.0
7878,1.0,1.0,1.0,1.0,1.0
7879,1.0,2.0,1.0,2.0,4.0
7880,1.0,1.0,1.5,1.0,2.3
7881,4.0,4.0,1.0,1.0,1.0
7882,3.0,3.0,1.0,1.0,1.0
7883,3.0,3.0,1.0,1.0,2.0
7884,1.0,1.0,1.5,2.0,2.0
7885,13.0,13.0,1.0,1.0,3.0
7886,5.0,7.0,1.0,1.0,1.0
7887,5.0,7.0,1.0,1.0,2.0
7888,1.0,1.0,1.0,1.0,1.0
7889,1.0,1.0,2.5,3.0,4.0
7890,5.0,5.0,1.5,2.0,2.3
7891,12.0,13.0,4.5,5.0,5.0
7892,1.0,1.0,1.0,2.0,2.0
7893,2.0,4.0,1.0,1.0,1.0
7894,1.0,1.0,1.0,1.0,1.0
7895,7.0,7.0,2.0,1.0,2.0
7896,3.0,4.0,1.0,2.0,2.0
7897,1.0,1.0,1.0,1.0,0.0
7898,1.0,1.0,3.0,3.0,4.0
7899,1.0,1.0,4.0,4.0,6.0
7900,2.0,3.0,2.0,2.0,3.0
7901,3.0,6.0,1.0,1.0,1.0
7902,2.0,2.0,2.0,2.0,2.0
7903,12.0,13.0,2.0,2.0,3.0
7904,2.0,2.0,1.0,2.0,4.0
7905,1.0,1.0,1.0,1.0,1.0
7906,237.0,354.0,1.0,2.0,4.0
7907,204.0,827.0,1.0,1.0,2.0
7908,2.0,2.0,1.0,2.0,2.0
7909,76.0,101.0,1.5,4.0,2.3
7910,1.0,1.0,0.5,1.0,1.0
7911,41.0,43.0,2.0,2.0,4.0
7912,3.0,6.0,1.0,1.0,1.0
7913,1.0,1.0,2.0,2.0,2.0
7914,1.0,1.0,1.0,1.0,1.0
7915,1.0,1.0,2.0,4.0,5.0
7916,1.0,1.0,1.5,2.0,2.3
7917,2.0,3.0,1.0,1.0,3.0
7918,58.0,73.0,1.0,1.0,1.0
7919,3.0,3.0,1.0,1.0,1.0
7920,3.0,3.0,1.0,1.0,1.0
7921,1.0,4.0,3.0,10.0,1.0
7922,1.0,1.0,1.0,1.0,2.0
7923,1.0,2.0,1.0,1.0,1.0
7924,2.0,2.0,2.0,1.0,2.0
7925,1.0,1.0,3.0,5.0,5.0
7926,1.0,1.0,1.0,1.0,1.0
7927,12.0,41.0,1.0,1.0,1.0
7928,1.0,1.0,1.0,2.0,3.0
7929,41.0,43.0,1.0,1.0,2.0
7930,1.0,3.0,1.0,2.0,2.0
7931,1.0,1.0,1.5,2.0,2.3
7932,1.0,2.0,1.0,1.0,1.0
7933,60.0,97.0,1.0,1.0,2.0
7934,1.0,1.0,2.5,3.0,3.0
7935,28.0,35.0,1.5,3.0,3.0
7936,1.0,2.0,2.0,1.0,1.0
7937,62.0,217.0,2.0,3.0,4.0
7938,1.0,2.0,2.0,3.0,6.0
7939,1.0,1.0,3.0,5.0,5.0
7940,5.0,10.0,3.0,3.0,3.0
7941,1.0,3.0,3.0,4.0,4.0
7942,16.0,16.0,1.5,3.0,2.3
7943,3.0,3.0,3.0,3.0,4.0
7944,3.0,3.0,3.0,4.0,8.0
7945,16.0,16.0,1.0,1.0,1.0
7946,5.0,9.0,3.0,4.0,7.0
7947,2.0,5.0,1.5,2.0,2.0
7948,1.0,1.0,1.0,1.0,1.0
7949,1.0,2.0,2.0,4.0,4.0
7950,2.0,3.0,1.0,1.0,1.0
7951,1.0,1.0,1.0,1.0,1.0
7952,15.0,29.0,1.0,1.0,1.0
7953,842.0,921.0,2.0,2.0,2.0
7954,2.0,3.0,1.0,1.0,2.0
7955,1.0,1.0,1.0,1.0,1.0
7956,1.0,1.0,1.0,1.0,1.0
7957,2.0,6.0,2.5,4.0,6.0
7958,3.0,12.0,3.0,1.0,1.0
7959,87.0,197.0,3.5,5.0,7.0
7960,1.0,1.0,2.5,3.0,3.0
7961,21.0,24.0,1.0,0.0,2.0
7962,1.0,2.0,1.5,1.0,2.3
7963,1.0,1.0,1.0,1.0,1.0
7964,842.0,921.0,1.0,2.0,3.0
7965,842.0,921.0,1.0,1.0,1.0
7966,1.0,1.0,3.0,5.0,7.0
7967,4.0,4.0,1.0,2.0,3.0
7968,1.0,3.0,1.0,1.0,1.0
7969,1.0,1.0,2.5,3.0,3.0
7970,1.0,2.0,1.0,1.0,2.0
7971,4.0,5.0,1.0,1.0,2.0
7972,16.0,16.0,1.0,1.0,1.0
7973,1.0,1.0,1.0,1.0,2.0
7974,1.0,1.0,1.5,2.0,2.3
7975,1.0,1.0,1.0,1.0,2.0
7976,1.0,1.0,2.0,5.0,4.0
7977,1.0,6.0,1.0,1.0,1.0
7978,1.0,1.0,1.0,2.0,3.0
7979,78.0,84.0,2.0,4.0,4.0
7980,7.0,7.0,2.0,1.0,1.0
7981,4.0,4.0,1.0,1.0,1.0
7982,26.0,27.0,2.0,2.0,2.0
7983,2.0,3.0,2.0,2.0,3.0
7984,8.0,8.0,1.0,1.0,2.0
7985,842.0,921.0,4.0,4.0,5.0
7986,1.0,4.0,3.5,5.0,4.0
